Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",114.950000,-41.000000,90.000000,top
"C2","10uF","C_0805_2012Metric",128.000000,-43.000000,270.000000,top
"C3","100nF","C_0603_1608Metric",130.000000,-43.000000,270.000000,top
"C4","100nF","C_0603_1608Metric",134.600000,-47.525000,270.000000,top
"C5","100nF","C_0603_1608Metric",163.000000,-42.500000,180.000000,top
"C6","100nF","C_0603_1608Metric",163.000000,-61.500000,180.000000,top
"C7","100nF","C_0603_1608Metric",163.000000,-80.500000,180.000000,top
"Q1","AO3401A","SOT-23",126.000000,-75.000000,180.000000,top
"Q2","AO3401A","SOT-23",126.000000,-84.000000,180.000000,top
"Q3","BC847","SOT-23",130.000000,-79.050000,180.000000,top
"Q4","BC847","SOT-23",130.000000,-88.000000,180.000000,top
"Q5","BC847","SOT-23",138.000000,-84.500000,0.000000,top
"Q6","AO3401A","SOT-23",142.500000,-83.000000,0.000000,top
"R1","10K","R_0603_1608Metric",126.000000,-78.000000,0.000000,top
"R2","10K","R_0603_1608Metric",126.000000,-87.000000,0.000000,top
"R3","10K","R_0603_1608Metric",129.000000,-75.000000,270.000000,top
"R4","10K","R_0603_1608Metric",129.000000,-84.000000,270.000000,top
"R5","10K","R_0603_1608Metric",133.000000,-79.000000,90.000000,top
"R6","10K","R_0603_1608Metric",133.000000,-88.000000,90.000000,top
"R7","1K","R_0603_1608Metric",135.000000,-79.000000,90.000000,top
"R8","1K","R_0603_1608Metric",135.000000,-88.000000,90.000000,top
"R9","10K","R_0603_1608Metric",132.375000,-45.200000,0.000000,top
"R10","1K","R_0603_1608Metric",138.000000,-81.500000,0.000000,top
"R11","10K","R_0603_1608Metric",137.750000,-87.250000,180.000000,top
"R12","10K","R_0603_1608Metric",141.325000,-86.000000,180.000000,top
"R13","10K","R_0603_1608Metric",144.000000,-86.675000,270.000000,top
"U3","AMS1117-3.3","SOT-223-3_TabPin2",122.000000,-41.000000,0.000000,top
"U4","ESP32-WROOM-32U","ESP32-WROOM-32U",146.000000,-51.000000,0.000000,top
"U5","MAX31855KASA","SOIC-8_3.9x4.9mm_P1.27mm",163.000000,-46.000000,180.000000,top
"U6","MAX31855KASA","SOIC-8_3.9x4.9mm_P1.27mm",163.000000,-65.000000,180.000000,top
"U7","MAX31855KASA","SOIC-8_3.9x4.9mm_P1.27mm",163.000000,-84.000000,180.000000,top
